iter	Passed	Remaining
0	162	162262
1	164	81870
2	165	55088
3	167	41688
4	169	33648
5	170	28273
6	172	24444
7	173	21565
8	175	19324
9	177	17527
10	178	16036
11	179	14787
12	180	13731
13	182	12827
14	183	12020
15	184	11316
16	184	10696
17	186	10192
18	187	9701
19	188	9253
20	189	8846
21	190	8477
22	191	8141
23	192	7830
24	193	7550
25	194	7286
26	195	7042
27	196	6815
28	197	6604
29	198	6407
30	199	6224
31	200	6050
32	200	5888
33	201	5733
34	202	5589
35	203	5450
36	204	5320
37	205	5196
38	206	5079
39	206	4967
40	207	4861
41	208	4761
42	209	4665
43	210	4573
44	211	4484
45	212	4401
46	213	4321
47	213	4244
48	214	4168
49	215	4096
50	216	4027
51	217	3961
52	218	3898
53	219	3837
54	219	3778
55	220	3721
56	221	3666
57	222	3613
58	223	3561
59	224	3511
60	225	3463
61	225	3417
62	226	3372
63	227	3329
64	228	3287
65	229	3246
66	230	3206
67	230	3162
68	231	3124
69	232	3088
70	233	3053
71	234	3017
72	234	2983
73	235	2950
74	236	2919
75	237	2888
76	238	2857
77	239	2827
78	240	2798
79	240	2770
80	241	2743
81	242	2716
82	243	2689
83	244	2663
84	244	2635
85	245	2611
86	246	2584
87	247	2561
88	247	2538
89	248	2515
90	249	2493
91	250	2472
92	251	2451
93	252	2431
94	253	2411
95	254	2392
96	254	2372
97	255	2353
98	256	2334
99	257	2316
100	258	2299
101	258	2278
102	259	2261
103	260	2244
104	261	2227
105	262	2211
106	262	2194
107	263	2178
108	264	2163
109	265	2148
110	266	2134
111	267	2119
112	268	2105
113	269	2091
114	269	2077
115	270	2062
116	271	2048
117	272	2035
118	272	2021
119	273	2008
120	274	1995
121	275	1982
122	275	1967
123	276	1955
124	277	1943
125	278	1932
126	279	1921
127	280	1907
128	280	1896
129	281	1885
130	282	1874
131	283	1864
132	284	1853
133	285	1842
134	286	1832
135	286	1823
136	287	1813
137	288	1802
138	289	1792
139	290	1783
140	291	1773
141	292	1764
142	292	1755
143	293	1746
144	294	1737
145	295	1728
146	296	1719
147	297	1710
148	298	1702
149	298	1693
150	299	1685
151	300	1677
152	301	1669
153	302	1661
154	303	1653
155	304	1645
156	304	1637
157	305	1629
158	306	1622
159	307	1614
160	308	1607
161	309	1599
162	310	1592
163	311	1585
164	312	1579
165	312	1572
166	313	1565
167	314	1558
168	315	1551
169	316	1544
170	317	1538
171	318	1531
172	319	1525
173	319	1518
174	320	1512
175	321	1505
176	322	1499
177	323	1493
178	324	1487
179	325	1481
180	325	1473
181	326	1467
182	327	1461
183	328	1455
184	329	1449
185	329	1443
186	330	1438
187	331	1432
188	332	1426
189	333	1421
190	334	1415
191	335	1409
192	335	1404
193	336	1398
194	337	1393
195	338	1388
196	339	1383
197	340	1378
198	341	1372
199	341	1367
200	342	1362
201	343	1357
202	344	1352
203	345	1347
204	346	1342
205	347	1337
206	347	1332
207	348	1328
208	349	1323
209	350	1318
210	351	1313
211	352	1309
212	353	1304
213	354	1300
214	354	1296
215	355	1291
216	356	1286
217	357	1282
218	358	1277
219	359	1273
220	360	1268
221	360	1264
222	361	1260
223	362	1256
224	363	1251
225	364	1247
226	365	1243
227	366	1239
228	366	1235
229	367	1231
230	368	1227
231	369	1222
232	370	1218
233	371	1214
234	371	1210
235	372	1207
236	373	1202
237	374	1199
238	375	1195
239	376	1191
240	377	1187
241	377	1183
242	378	1180
243	379	1176
244	380	1173
245	381	1169
246	382	1165
247	383	1162
248	384	1159
249	385	1156
250	386	1152
251	387	1149
252	388	1145
253	388	1142
254	389	1138
255	390	1135
256	391	1131
257	392	1128
258	393	1124
259	394	1121
260	394	1117
261	395	1114
262	396	1111
263	397	1108
264	398	1104
265	399	1101
266	400	1098
267	400	1095
268	401	1091
269	402	1088
270	403	1085
271	404	1082
272	405	1079
273	406	1075
274	406	1072
275	407	1069
276	408	1066
277	409	1063
278	410	1060
279	411	1057
280	412	1054
281	412	1051
